material_id, num_atoms, strain, stress_Gpa, total_energy_per_atom, sym, cif
1, 16, -2.44069124068123e-16, 0.000414570939432449, -3.4215077074078937, fcc, "data_image0
_chemical_formula_structural       Cu16
_chemical_formula_sum              'Cu16'
_cell_length_a       8.31886
_cell_length_b       6.93145
_cell_length_c       3.46349
_cell_angle_alpha    90
_cell_angle_beta     90
_cell_angle_gamma    90

_space_group_name_H-M_alt    'P 1'
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Cu  Cu1       1.0  0.23557  0.33345  0.08796  1.0000
  Cu  Cu2       1.0  0.23634  0.08388  0.58286  1.0000
  Cu  Cu3       1.0  0.48711  0.08547  0.08094  1.0000
  Cu  Cu4       1.0  0.48645  0.33595  0.58800  1.0000
  Cu  Cu5       1.0  0.98727  0.58522  0.08479  1.0000
  Cu  Cu6       1.0  0.23674  0.83253  0.08566  1.0000
  Cu  Cu7       1.0  0.23689  0.58393  0.58268  1.0000
  Cu  Cu8       1.0  0.98778  0.83564  0.58383  1.0000
  Cu  Cu9       1.0  0.98537  0.08478  0.08030  1.0000
  Cu  Cu10      1.0  0.98670  0.33499  0.58460  1.0000
  Cu  Cu11      1.0  0.73704  0.33450  0.08953  1.0000
  Cu  Cu12      1.0  0.73550  0.08280  0.58301  1.0000
  Cu  Cu13      1.0  0.48842  0.58419  0.08554  1.0000
  Cu  Cu14      1.0  0.73749  0.83287  0.08623  1.0000
  Cu  Cu15      1.0  0.73806  0.58323  0.58303  1.0000
  Cu  Cu16      1.0  0.48681  0.83528  0.58576  1.0000
"
2, 16, 0.000199999999999682, 0.0208895148211518, -3.4215075766442373, fcc, "data_image0
_chemical_formula_structural       Cu16
_chemical_formula_sum              'Cu16'
_cell_length_a       8.31886
_cell_length_b       6.93145
_cell_length_c       3.46349
_cell_angle_alpha    90
_cell_angle_beta     90
_cell_angle_gamma    90

_space_group_name_H-M_alt    'P 1'
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Cu  Cu1       1.0  0.23557  0.33345  0.08796  1.0000
  Cu  Cu2       1.0  0.23634  0.08388  0.58286  1.0000
  Cu  Cu3       1.0  0.48711  0.08547  0.08094  1.0000
  Cu  Cu4       1.0  0.48645  0.33595  0.58800  1.0000
  Cu  Cu5       1.0  0.98727  0.58522  0.08479  1.0000
  Cu  Cu6       1.0  0.23674  0.83253  0.08566  1.0000
  Cu  Cu7       1.0  0.23689  0.58393  0.58268  1.0000
  Cu  Cu8       1.0  0.98778  0.83564  0.58383  1.0000
  Cu  Cu9       1.0  0.98537  0.08478  0.08030  1.0000
  Cu  Cu10      1.0  0.98670  0.33499  0.58460  1.0000
  Cu  Cu11      1.0  0.73704  0.33450  0.08953  1.0000
  Cu  Cu12      1.0  0.73550  0.08280  0.58301  1.0000
  Cu  Cu13      1.0  0.48842  0.58419  0.08554  1.0000
  Cu  Cu14      1.0  0.73749  0.83287  0.08623  1.0000
  Cu  Cu15      1.0  0.73806  0.58323  0.58303  1.0000
  Cu  Cu16      1.0  0.48681  0.83528  0.58576  1.0000
"
3, 16, 0.000399999999999851, 0.0196852571215963, -3.421507274118375, fcc, "data_image0
_chemical_formula_structural       Cu16
_chemical_formula_sum              'Cu16'
_cell_length_a       8.31886
_cell_length_b       6.93145
_cell_length_c       3.46349
_cell_angle_alpha    90
_cell_angle_beta     90
_cell_angle_gamma    90

_space_group_name_H-M_alt    'P 1'
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Cu  Cu1       1.0  0.23557  0.33345  0.08796  1.0000
  Cu  Cu2       1.0  0.23634  0.08388  0.58286  1.0000
  Cu  Cu3       1.0  0.48711  0.08547  0.08094  1.0000
  Cu  Cu4       1.0  0.48645  0.33595  0.58800  1.0000
  Cu  Cu5       1.0  0.98727  0.58522  0.08479  1.0000
  Cu  Cu6       1.0  0.23674  0.83253  0.08566  1.0000
  Cu  Cu7       1.0  0.23689  0.58393  0.58268  1.0000
  Cu  Cu8       1.0  0.98778  0.83564  0.58383  1.0000
  Cu  Cu9       1.0  0.98537  0.08478  0.08030  1.0000
  Cu  Cu10      1.0  0.98670  0.33499  0.58460  1.0000
  Cu  Cu11      1.0  0.73704  0.33450  0.08953  1.0000
  Cu  Cu12      1.0  0.73550  0.08280  0.58301  1.0000
  Cu  Cu13      1.0  0.48842  0.58419  0.08554  1.0000
  Cu  Cu14      1.0  0.73749  0.83287  0.08623  1.0000
  Cu  Cu15      1.0  0.73806  0.58323  0.58303  1.0000
  Cu  Cu16      1.0  0.48681  0.83528  0.58576  1.0000
"
4, 16, 0.000599999999999777, 0.0412902331360248, -3.421506844633294, fcc, "data_image0
_chemical_formula_structural       Cu16
_chemical_formula_sum              'Cu16'
_cell_length_a       8.31886
_cell_length_b       6.93145
_cell_length_c       3.46349
_cell_angle_alpha    90
_cell_angle_beta     90
_cell_angle_gamma    90

_space_group_name_H-M_alt    'P 1'
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Cu  Cu1       1.0  0.23557  0.33345  0.08796  1.0000
  Cu  Cu2       1.0  0.23634  0.08388  0.58286  1.0000
  Cu  Cu3       1.0  0.48711  0.08547  0.08094  1.0000
  Cu  Cu4       1.0  0.48645  0.33595  0.58800  1.0000
  Cu  Cu5       1.0  0.98727  0.58522  0.08479  1.0000
  Cu  Cu6       1.0  0.23674  0.83253  0.08566  1.0000
  Cu  Cu7       1.0  0.23689  0.58393  0.58268  1.0000
  Cu  Cu8       1.0  0.98778  0.83564  0.58383  1.0000
  Cu  Cu9       1.0  0.98537  0.08478  0.08030  1.0000
  Cu  Cu10      1.0  0.98670  0.33499  0.58460  1.0000
  Cu  Cu11      1.0  0.73704  0.33450  0.08953  1.0000
  Cu  Cu12      1.0  0.73550  0.08280  0.58301  1.0000
  Cu  Cu13      1.0  0.48842  0.58419  0.08554  1.0000
  Cu  Cu14      1.0  0.73749  0.83287  0.08623  1.0000
  Cu  Cu15      1.0  0.73806  0.58323  0.58303  1.0000
  Cu  Cu16      1.0  0.48681  0.83528  0.58576  1.0000
"
5, 16, 0.000799999999999702, 0.0586957459853474, -3.421506258575625, fcc, "data_image0
_chemical_formula_structural       Cu16
_chemical_formula_sum              'Cu16'
_cell_length_a       8.31886
_cell_length_b       6.93145
_cell_length_c       3.46349
_cell_angle_alpha    90
_cell_angle_beta     90
_cell_angle_gamma    90

_space_group_name_H-M_alt    'P 1'
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Cu  Cu1       1.0  0.23557  0.33345  0.08796  1.0000
  Cu  Cu2       1.0  0.23634  0.08388  0.58286  1.0000
  Cu  Cu3       1.0  0.48711  0.08547  0.08094  1.0000
  Cu  Cu4       1.0  0.48645  0.33595  0.58800  1.0000
  Cu  Cu5       1.0  0.98727  0.58522  0.08479  1.0000
  Cu  Cu6       1.0  0.23674  0.83253  0.08566  1.0000
  Cu  Cu7       1.0  0.23689  0.58393  0.58268  1.0000
  Cu  Cu8       1.0  0.98778  0.83564  0.58383  1.0000
  Cu  Cu9       1.0  0.98537  0.08478  0.08030  1.0000
  Cu  Cu10      1.0  0.98670  0.33499  0.58460  1.0000
  Cu  Cu11      1.0  0.73704  0.33450  0.08953  1.0000
  Cu  Cu12      1.0  0.73550  0.08280  0.58301  1.0000
  Cu  Cu13      1.0  0.48842  0.58419  0.08554  1.0000
  Cu  Cu14      1.0  0.73749  0.83287  0.08623  1.0000
  Cu  Cu15      1.0  0.73806  0.58323  0.58303  1.0000
  Cu  Cu16      1.0  0.48681  0.83528  0.58576  1.0000
"
6, 16, 0.00099999999999975, 0.0578215933320739, -3.4215054112146186, fcc, "data_image0
_chemical_formula_structural       Cu16
_chemical_formula_sum              'Cu16'
_cell_length_a       8.31886
_cell_length_b       6.93145
_cell_length_c       3.46349
_cell_angle_alpha    90
_cell_angle_beta     90
_cell_angle_gamma    90

_space_group_name_H-M_alt    'P 1'
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Cu  Cu1       1.0  0.23557  0.33345  0.08796  1.0000
  Cu  Cu2       1.0  0.23634  0.08388  0.58286  1.0000
  Cu  Cu3       1.0  0.48711  0.08547  0.08094  1.0000
  Cu  Cu4       1.0  0.48645  0.33595  0.58800  1.0000
  Cu  Cu5       1.0  0.98727  0.58522  0.08479  1.0000
  Cu  Cu6       1.0  0.23674  0.83253  0.08566  1.0000
  Cu  Cu7       1.0  0.23689  0.58393  0.58268  1.0000
  Cu  Cu8       1.0  0.98778  0.83564  0.58383  1.0000
  Cu  Cu9       1.0  0.98537  0.08478  0.08030  1.0000
  Cu  Cu10      1.0  0.98670  0.33499  0.58460  1.0000
  Cu  Cu11      1.0  0.73704  0.33450  0.08953  1.0000
  Cu  Cu12      1.0  0.73550  0.08280  0.58301  1.0000
  Cu  Cu13      1.0  0.48842  0.58419  0.08554  1.0000
  Cu  Cu14      1.0  0.73749  0.83287  0.08623  1.0000
  Cu  Cu15      1.0  0.73806  0.58323  0.58303  1.0000
  Cu  Cu16      1.0  0.48681  0.83528  0.58576  1.0000
"
7, 16, 0.0011999999999998, 0.0831057657768551, -3.4215043062136687, fcc, "data_image0
_chemical_formula_structural       Cu16
_chemical_formula_sum              'Cu16'
_cell_length_a       8.31886
_cell_length_b       6.93145
_cell_length_c       3.46349
_cell_angle_alpha    90
_cell_angle_beta     90
_cell_angle_gamma    90

_space_group_name_H-M_alt    'P 1'
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Cu  Cu1       1.0  0.23557  0.33345  0.08796  1.0000
  Cu  Cu2       1.0  0.23634  0.08388  0.58286  1.0000
  Cu  Cu3       1.0  0.48711  0.08547  0.08094  1.0000
  Cu  Cu4       1.0  0.48645  0.33595  0.58800  1.0000
  Cu  Cu5       1.0  0.98727  0.58522  0.08479  1.0000
  Cu  Cu6       1.0  0.23674  0.83253  0.08566  1.0000
  Cu  Cu7       1.0  0.23689  0.58393  0.58268  1.0000
  Cu  Cu8       1.0  0.98778  0.83564  0.58383  1.0000
  Cu  Cu9       1.0  0.98537  0.08478  0.08030  1.0000
  Cu  Cu10      1.0  0.98670  0.33499  0.58460  1.0000
  Cu  Cu11      1.0  0.73704  0.33450  0.08953  1.0000
  Cu  Cu12      1.0  0.73550  0.08280  0.58301  1.0000
  Cu  Cu13      1.0  0.48842  0.58419  0.08554  1.0000
  Cu  Cu14      1.0  0.73749  0.83287  0.08623  1.0000
  Cu  Cu15      1.0  0.73806  0.58323  0.58303  1.0000
  Cu  Cu16      1.0  0.48681  0.83528  0.58576  1.0000
"
8, 16, 0.00139999999999972, 0.0950765569539542, -3.4215030206621875, fcc, "data_image0
_chemical_formula_structural       Cu16
_chemical_formula_sum              'Cu16'
_cell_length_a       8.31886
_cell_length_b       6.93145
_cell_length_c       3.46349
_cell_angle_alpha    90
_cell_angle_beta     90
_cell_angle_gamma    90

_space_group_name_H-M_alt    'P 1'
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Cu  Cu1       1.0  0.23557  0.33345  0.08796  1.0000
  Cu  Cu2       1.0  0.23634  0.08388  0.58286  1.0000
  Cu  Cu3       1.0  0.48711  0.08547  0.08094  1.0000
  Cu  Cu4       1.0  0.48645  0.33595  0.58800  1.0000
  Cu  Cu5       1.0  0.98727  0.58522  0.08479  1.0000
  Cu  Cu6       1.0  0.23674  0.83253  0.08566  1.0000
  Cu  Cu7       1.0  0.23689  0.58393  0.58268  1.0000
  Cu  Cu8       1.0  0.98778  0.83564  0.58383  1.0000
  Cu  Cu9       1.0  0.98537  0.08478  0.08030  1.0000
  Cu  Cu10      1.0  0.98670  0.33499  0.58460  1.0000
  Cu  Cu11      1.0  0.73704  0.33450  0.08953  1.0000
  Cu  Cu12      1.0  0.73550  0.08280  0.58301  1.0000
  Cu  Cu13      1.0  0.48842  0.58419  0.08554  1.0000
  Cu  Cu14      1.0  0.73749  0.83287  0.08623  1.0000
  Cu  Cu15      1.0  0.73806  0.58323  0.58303  1.0000
  Cu  Cu16      1.0  0.48681  0.83528  0.58576  1.0000
"
9, 16, 0.00159999999999965, 0.098467942626282, -3.421501554489825, fcc, "data_image0
_chemical_formula_structural       Cu16
_chemical_formula_sum              'Cu16'
_cell_length_a       8.31886
_cell_length_b       6.93145
_cell_length_c       3.46349
_cell_angle_alpha    90
_cell_angle_beta     90
_cell_angle_gamma    90

_space_group_name_H-M_alt    'P 1'
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Cu  Cu1       1.0  0.23557  0.33345  0.08796  1.0000
  Cu  Cu2       1.0  0.23634  0.08388  0.58286  1.0000
  Cu  Cu3       1.0  0.48711  0.08547  0.08094  1.0000
  Cu  Cu4       1.0  0.48645  0.33595  0.58800  1.0000
  Cu  Cu5       1.0  0.98727  0.58522  0.08479  1.0000
  Cu  Cu6       1.0  0.23674  0.83253  0.08566  1.0000
  Cu  Cu7       1.0  0.23689  0.58393  0.58268  1.0000
  Cu  Cu8       1.0  0.98778  0.83564  0.58383  1.0000
  Cu  Cu9       1.0  0.98537  0.08478  0.08030  1.0000
  Cu  Cu10      1.0  0.98670  0.33499  0.58460  1.0000
  Cu  Cu11      1.0  0.73704  0.33450  0.08953  1.0000
  Cu  Cu12      1.0  0.73550  0.08280  0.58301  1.0000
  Cu  Cu13      1.0  0.48842  0.58419  0.08554  1.0000
  Cu  Cu14      1.0  0.73749  0.83287  0.08623  1.0000
  Cu  Cu15      1.0  0.73806  0.58323  0.58303  1.0000
  Cu  Cu16      1.0  0.48681  0.83528  0.58576  1.0000
"
10, 16, 0.00179999999999982, 0.12590280529244, -3.4214998808919064, fcc, "data_image0
_chemical_formula_structural       Cu16
_chemical_formula_sum              'Cu16'
_cell_length_a       8.31886
_cell_length_b       6.93145
_cell_length_c       3.46349
_cell_angle_alpha    90
_cell_angle_beta     90
_cell_angle_gamma    90

_space_group_name_H-M_alt    'P 1'
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Cu  Cu1       1.0  0.23557  0.33345  0.08796  1.0000
  Cu  Cu2       1.0  0.23634  0.08388  0.58286  1.0000
  Cu  Cu3       1.0  0.48711  0.08547  0.08094  1.0000
  Cu  Cu4       1.0  0.48645  0.33595  0.58800  1.0000
  Cu  Cu5       1.0  0.98727  0.58522  0.08479  1.0000
  Cu  Cu6       1.0  0.23674  0.83253  0.08566  1.0000
  Cu  Cu7       1.0  0.23689  0.58393  0.58268  1.0000
  Cu  Cu8       1.0  0.98778  0.83564  0.58383  1.0000
  Cu  Cu9       1.0  0.98537  0.08478  0.08030  1.0000
  Cu  Cu10      1.0  0.98670  0.33499  0.58460  1.0000
  Cu  Cu11      1.0  0.73704  0.33450  0.08953  1.0000
  Cu  Cu12      1.0  0.73550  0.08280  0.58301  1.0000
  Cu  Cu13      1.0  0.48842  0.58419  0.08554  1.0000
  Cu  Cu14      1.0  0.73749  0.83287  0.08623  1.0000
  Cu  Cu15      1.0  0.73806  0.58323  0.58303  1.0000
  Cu  Cu16      1.0  0.48681  0.83528  0.58576  1.0000
"
