material_id, num_atoms, strain, stress_Gpa, total_energy_per_atom, sym, cif
1, 16, -4.8814025833969e-16, -0.00238497787471775, -3.4215077252946937, fcc, "data_image0
_chemical_formula_structural       Cu16
_chemical_formula_sum              'Cu16'
_cell_length_a       7.27809
_cell_length_b       7.27809
_cell_length_c       3.63904
_cell_angle_alpha    90
_cell_angle_beta     90
_cell_angle_gamma    90

_space_group_name_H-M_alt    'P 1'
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Cu  Cu1       1.0  0.05782  0.05518  0.05370  1.0000
  Cu  Cu2       1.0  0.30822  0.30689  0.05995  1.0000
  Cu  Cu3       1.0  0.30809  0.05654  0.55382  1.0000
  Cu  Cu4       1.0  0.05687  0.30646  0.55940  1.0000
  Cu  Cu5       1.0  0.55831  0.05613  0.05247  1.0000
  Cu  Cu6       1.0  0.80747  0.30635  0.05988  1.0000
  Cu  Cu7       1.0  0.80544  0.05759  0.55375  1.0000
  Cu  Cu8       1.0  0.55621  0.30562  0.55844  1.0000
  Cu  Cu9       1.0  0.05464  0.55605  0.05931  1.0000
  Cu  Cu10      1.0  0.30654  0.80785  0.05810  1.0000
  Cu  Cu11      1.0  0.30544  0.55658  0.55443  1.0000
  Cu  Cu12      1.0  0.05646  0.80616  0.55962  1.0000
  Cu  Cu13      1.0  0.55458  0.55529  0.05801  1.0000
  Cu  Cu14      1.0  0.80634  0.80669  0.05478  1.0000
  Cu  Cu15      1.0  0.80609  0.55770  0.55395  1.0000
  Cu  Cu16      1.0  0.55491  0.80635  0.55385  1.0000
"
2, 16, 0.000199999999999472, 0.0183307030492395, -3.4215075640198935, fcc, "data_image0
_chemical_formula_structural       Cu16
_chemical_formula_sum              'Cu16'
_cell_length_a       7.27954
_cell_length_b       7.27795
_cell_length_c       3.63888
_cell_angle_alpha    90
_cell_angle_beta     90
_cell_angle_gamma    90

_space_group_name_H-M_alt    'P 1'
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Cu  Cu1       1.0  0.05759  0.05550  0.05443  1.0000
  Cu  Cu2       1.0  0.30755  0.30689  0.05906  1.0000
  Cu  Cu3       1.0  0.30779  0.05625  0.55467  1.0000
  Cu  Cu4       1.0  0.05628  0.30654  0.55832  1.0000
  Cu  Cu5       1.0  0.55805  0.05668  0.05325  1.0000
  Cu  Cu6       1.0  0.80728  0.30657  0.05922  1.0000
  Cu  Cu7       1.0  0.80567  0.05707  0.55472  1.0000
  Cu  Cu8       1.0  0.55650  0.30602  0.55792  1.0000
  Cu  Cu9       1.0  0.05488  0.55647  0.05951  1.0000
  Cu  Cu10      1.0  0.30624  0.80740  0.05767  1.0000
  Cu  Cu11      1.0  0.30505  0.55632  0.55523  1.0000
  Cu  Cu12      1.0  0.05606  0.80637  0.55909  1.0000
  Cu  Cu13      1.0  0.55464  0.55549  0.05822  1.0000
  Cu  Cu14      1.0  0.80611  0.80622  0.05430  1.0000
  Cu  Cu15      1.0  0.80669  0.55749  0.55478  1.0000
  Cu  Cu16      1.0  0.55528  0.80634  0.55345  1.0000
"
3, 16, 0.000399999999999431, 0.0159461174510722, -3.4215072311270625, fcc, "data_image0
_chemical_formula_structural       Cu16
_chemical_formula_sum              'Cu16'
_cell_length_a       7.281
_cell_length_b       7.27714
_cell_length_c       3.63833
_cell_angle_alpha    90
_cell_angle_beta     90
_cell_angle_gamma    90

_space_group_name_H-M_alt    'P 1'
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Cu  Cu1       1.0  0.05726  0.05600  0.05546  1.0000
  Cu  Cu2       1.0  0.30672  0.30684  0.05794  1.0000
  Cu  Cu3       1.0  0.30740  0.05608  0.55575  1.0000
  Cu  Cu4       1.0  0.05575  0.30660  0.55726  1.0000
  Cu  Cu5       1.0  0.55767  0.05726  0.05431  1.0000
  Cu  Cu6       1.0  0.80701  0.30687  0.05832  1.0000
  Cu  Cu7       1.0  0.80602  0.05650  0.55584  1.0000
  Cu  Cu8       1.0  0.55683  0.30658  0.55740  1.0000
  Cu  Cu9       1.0  0.05530  0.55697  0.05947  1.0000
  Cu  Cu10      1.0  0.30593  0.80686  0.05708  1.0000
  Cu  Cu11      1.0  0.30468  0.55613  0.55645  1.0000
  Cu  Cu12      1.0  0.05570  0.80669  0.55833  1.0000
  Cu  Cu13      1.0  0.55487  0.55584  0.05819  1.0000
  Cu  Cu14      1.0  0.80584  0.80583  0.05400  1.0000
  Cu  Cu15      1.0  0.80716  0.55721  0.55601  1.0000
  Cu  Cu16      1.0  0.55573  0.80634  0.55337  1.0000
"
4, 16, 0.000599999999999391, 0.0451697374808361, -3.4215066900872313, fcc, "data_image0
_chemical_formula_structural       Cu16
_chemical_formula_sum              'Cu16'
_cell_length_a       7.28246
_cell_length_b       7.27671
_cell_length_c       3.63819
_cell_angle_alpha    90
_cell_angle_beta     90
_cell_angle_gamma    90

_space_group_name_H-M_alt    'P 1'
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Cu  Cu1       1.0  0.05682  0.05653  0.05658  1.0000
  Cu  Cu2       1.0  0.30581  0.30670  0.05661  1.0000
  Cu  Cu3       1.0  0.30695  0.05595  0.55683  1.0000
  Cu  Cu4       1.0  0.05529  0.30657  0.55617  1.0000
  Cu  Cu5       1.0  0.55718  0.05776  0.05545  1.0000
  Cu  Cu6       1.0  0.80669  0.30713  0.05716  1.0000
  Cu  Cu7       1.0  0.80643  0.05588  0.55687  1.0000
  Cu  Cu8       1.0  0.55715  0.30715  0.55679  1.0000
  Cu  Cu9       1.0  0.05583  0.55742  0.05910  1.0000
  Cu  Cu10      1.0  0.30567  0.80626  0.05631  1.0000
  Cu  Cu11      1.0  0.30439  0.55596  0.55780  1.0000
  Cu  Cu12      1.0  0.05539  0.80701  0.55732  1.0000
  Cu  Cu13      1.0  0.55521  0.55621  0.05784  1.0000
  Cu  Cu14      1.0  0.80556  0.80548  0.05385  1.0000
  Cu  Cu15      1.0  0.80749  0.55685  0.55734  1.0000
  Cu  Cu16      1.0  0.55623  0.80628  0.55350  1.0000
"
5, 16, 0.000799999999999595, 0.0629782622174777, -3.4215057482893627, fcc, "data_image0
_chemical_formula_structural       Cu16
_chemical_formula_sum              'Cu16'
_cell_length_a       7.28391
_cell_length_b       7.27577
_cell_length_c       3.63811
_cell_angle_alpha    90
_cell_angle_beta     90
_cell_angle_gamma    90

_space_group_name_H-M_alt    'P 1'
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Cu  Cu1       1.0  0.05632  0.05708  0.05770  1.0000
  Cu  Cu2       1.0  0.30492  0.30656  0.05531  1.0000
  Cu  Cu3       1.0  0.30648  0.05595  0.55783  1.0000
  Cu  Cu4       1.0  0.05490  0.30651  0.55520  1.0000
  Cu  Cu5       1.0  0.55661  0.05820  0.05664  1.0000
  Cu  Cu6       1.0  0.80636  0.30742  0.05597  1.0000
  Cu  Cu7       1.0  0.80682  0.05534  0.55777  1.0000
  Cu  Cu8       1.0  0.55741  0.30774  0.55618  1.0000
  Cu  Cu9       1.0  0.05640  0.55782  0.05850  1.0000
  Cu  Cu10      1.0  0.30550  0.80572  0.05555  1.0000
  Cu  Cu11      1.0  0.30420  0.55589  0.55909  1.0000
  Cu  Cu12      1.0  0.05515  0.80739  0.55621  1.0000
  Cu  Cu13      1.0  0.55561  0.55662  0.05731  1.0000
  Cu  Cu14      1.0  0.80528  0.80527  0.05396  1.0000
  Cu  Cu15      1.0  0.80768  0.55652  0.55861  1.0000
  Cu  Cu16      1.0  0.55669  0.80624  0.55389  1.0000
"
6, 16, 0.000999999999999555, 0.0608973044379286, -3.4215045740453314, fcc, "data_image0
_chemical_formula_structural       Cu16
_chemical_formula_sum              'Cu16'
_cell_length_a       7.28537
_cell_length_b       7.2741
_cell_length_c       3.63782
_cell_angle_alpha    90
_cell_angle_beta     90
_cell_angle_gamma    90

_space_group_name_H-M_alt    'P 1'
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Cu  Cu1       1.0  0.05578  0.05760  0.05875  1.0000
  Cu  Cu2       1.0  0.30412  0.30649  0.05424  1.0000
  Cu  Cu3       1.0  0.30600  0.05609  0.55868  1.0000
  Cu  Cu4       1.0  0.05458  0.30646  0.55446  1.0000
  Cu  Cu5       1.0  0.55598  0.05855  0.05783  1.0000
  Cu  Cu6       1.0  0.80605  0.30772  0.05493  1.0000
  Cu  Cu7       1.0  0.80711  0.05498  0.55850  1.0000
  Cu  Cu8       1.0  0.55756  0.30833  0.55563  1.0000
  Cu  Cu9       1.0  0.05694  0.55817  0.05778  1.0000
  Cu  Cu10      1.0  0.30544  0.80536  0.05496  1.0000
  Cu  Cu11      1.0  0.30415  0.55595  0.56014  1.0000
  Cu  Cu12      1.0  0.05498  0.80780  0.55518  1.0000
  Cu  Cu13      1.0  0.55598  0.55705  0.05676  1.0000
  Cu  Cu14      1.0  0.80505  0.80524  0.05440  1.0000
  Cu  Cu15      1.0  0.80775  0.55630  0.55967  1.0000
  Cu  Cu16      1.0  0.55707  0.80624  0.55454  1.0000
"
7, 16, 0.00119999999999951, 0.0888609835091753, -3.4215032534324124, fcc, "data_image0
_chemical_formula_structural       Cu16
_chemical_formula_sum              'Cu16'
_cell_length_a       7.28682
_cell_length_b       7.27341
_cell_length_c       3.63778
_cell_angle_alpha    90
_cell_angle_beta     90
_cell_angle_gamma    90

_space_group_name_H-M_alt    'P 1'
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Cu  Cu1       1.0  0.05524  0.05789  0.05952  1.0000
  Cu  Cu2       1.0  0.30353  0.30639  0.05347  1.0000
  Cu  Cu3       1.0  0.30556  0.05623  0.55923  1.0000
  Cu  Cu4       1.0  0.05433  0.30632  0.55390  1.0000
  Cu  Cu5       1.0  0.55535  0.05867  0.05886  1.0000
  Cu  Cu6       1.0  0.80578  0.30788  0.05409  1.0000
  Cu  Cu7       1.0  0.80724  0.05473  0.55896  1.0000
  Cu  Cu8       1.0  0.55755  0.30871  0.55510  1.0000
  Cu  Cu9       1.0  0.05737  0.55831  0.05696  1.0000
  Cu  Cu10      1.0  0.30550  0.80510  0.05459  1.0000
  Cu  Cu11      1.0  0.30423  0.55600  0.56066  1.0000
  Cu  Cu12      1.0  0.05489  0.80809  0.55426  1.0000
  Cu  Cu13      1.0  0.55626  0.55730  0.05624  1.0000
  Cu  Cu14      1.0  0.80489  0.80526  0.05509  1.0000
  Cu  Cu15      1.0  0.80774  0.55609  0.56026  1.0000
  Cu  Cu16      1.0  0.55730  0.80619  0.55532  1.0000
"
8, 16, 0.00139999999999947, 0.0941421246791954, -3.4215017770189626, fcc, "data_image0
_chemical_formula_structural       Cu16
_chemical_formula_sum              'Cu16'
_cell_length_a       7.28828
_cell_length_b       7.27289
_cell_length_c       3.63734
_cell_angle_alpha    90
_cell_angle_beta     90
_cell_angle_gamma    90

_space_group_name_H-M_alt    'P 1'
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Cu  Cu1       1.0  0.05475  0.05800  0.06002  1.0000
  Cu  Cu2       1.0  0.30317  0.30636  0.05319  1.0000
  Cu  Cu3       1.0  0.30517  0.05641  0.55953  1.0000
  Cu  Cu4       1.0  0.05413  0.30617  0.55366  1.0000
  Cu  Cu5       1.0  0.55475  0.05862  0.05975  1.0000
  Cu  Cu6       1.0  0.80558  0.30795  0.05367  1.0000
  Cu  Cu7       1.0  0.80715  0.05469  0.55922  1.0000
  Cu  Cu8       1.0  0.55737  0.30891  0.55472  1.0000
  Cu  Cu9       1.0  0.05764  0.55829  0.05623  1.0000
  Cu  Cu10      1.0  0.30567  0.80505  0.05460  1.0000
  Cu  Cu11      1.0  0.30446  0.55610  0.56065  1.0000
  Cu  Cu12      1.0  0.05487  0.80828  0.55368  1.0000
  Cu  Cu13      1.0  0.55641  0.55742  0.05595  1.0000
  Cu  Cu14      1.0  0.80483  0.80539  0.05609  1.0000
  Cu  Cu15      1.0  0.80767  0.55601  0.56039  1.0000
  Cu  Cu16      1.0  0.55737  0.80615  0.55629  1.0000
"
9, 16, 0.00159999999999943, 0.0939149229938592, -3.421500080756706, fcc, "data_image0
_chemical_formula_structural       Cu16
_chemical_formula_sum              'Cu16'
_cell_length_a       7.28973
_cell_length_b       7.27264
_cell_length_c       3.63661
_cell_angle_alpha    90
_cell_angle_beta     90
_cell_angle_gamma    90

_space_group_name_H-M_alt    'P 1'
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Cu  Cu1       1.0  0.05433  0.05788  0.06017  1.0000
  Cu  Cu2       1.0  0.30309  0.30639  0.05340  1.0000
  Cu  Cu3       1.0  0.30485  0.05661  0.55955  1.0000
  Cu  Cu4       1.0  0.05400  0.30604  0.55372  1.0000
  Cu  Cu5       1.0  0.55423  0.05840  0.06041  1.0000
  Cu  Cu6       1.0  0.80545  0.30791  0.05366  1.0000
  Cu  Cu7       1.0  0.80681  0.05487  0.55929  1.0000
  Cu  Cu8       1.0  0.55702  0.30890  0.55450  1.0000
  Cu  Cu9       1.0  0.05773  0.55810  0.05561  1.0000
  Cu  Cu10      1.0  0.30592  0.80522  0.05499  1.0000
  Cu  Cu11      1.0  0.30480  0.55622  0.56005  1.0000
  Cu  Cu12      1.0  0.05493  0.80836  0.55349  1.0000
  Cu  Cu13      1.0  0.55640  0.55738  0.05590  1.0000
  Cu  Cu14      1.0  0.80485  0.80561  0.05730  1.0000
  Cu  Cu15      1.0  0.80756  0.55605  0.56000  1.0000
  Cu  Cu16      1.0  0.55725  0.80615  0.55735  1.0000
"
10, 16, 0.00179999999999939, 0.122244317598528, -3.4214983618883186, fcc, "data_image0
_chemical_formula_structural       Cu16
_chemical_formula_sum              'Cu16'
_cell_length_a       7.29119
_cell_length_b       7.27317
_cell_length_c       3.63625
_cell_angle_alpha    90
_cell_angle_beta     90
_cell_angle_gamma    90

_space_group_name_H-M_alt    'P 1'
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Cu  Cu1       1.0  0.05402  0.05753  0.05987  1.0000
  Cu  Cu2       1.0  0.30326  0.30646  0.05396  1.0000
  Cu  Cu3       1.0  0.30460  0.05676  0.55924  1.0000
  Cu  Cu4       1.0  0.05393  0.30590  0.55397  1.0000
  Cu  Cu5       1.0  0.55384  0.05801  0.06070  1.0000
  Cu  Cu6       1.0  0.80536  0.30773  0.05397  1.0000
  Cu  Cu7       1.0  0.80622  0.05521  0.55912  1.0000
  Cu  Cu8       1.0  0.55651  0.30863  0.55439  1.0000
  Cu  Cu9       1.0  0.05761  0.55775  0.05506  1.0000
  Cu  Cu10      1.0  0.30622  0.80556  0.05562  1.0000
  Cu  Cu11      1.0  0.30521  0.55633  0.55882  1.0000
  Cu  Cu12      1.0  0.05506  0.80827  0.55364  1.0000
  Cu  Cu13      1.0  0.55624  0.55717  0.05601  1.0000
  Cu  Cu14      1.0  0.80495  0.80586  0.05848  1.0000
  Cu  Cu15      1.0  0.80742  0.55617  0.55906  1.0000
  Cu  Cu16      1.0  0.55698  0.80613  0.55836  1.0000
"
